ProductID,ProductName,Type,Category,Manufacturer,Brand,Class,Price
1,Contoso 512MB MP3 Player E51 Silver,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,12.99
2,Contoso 512MB MP3 Player E51 Blue,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,12.99
3,Contoso 1G MP3 Player E100 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,14.52
4,Contoso 2G MP3 Player E200 Silver,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,21.57
5,Contoso 2G MP3 Player E200 Red,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,21.57
6,Contoso 2G MP3 Player E200 Black,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,21.57
7,Contoso 2G MP3 Player E200 Blue,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,21.57
8,Contoso 4G MP3 Player E400 Silver,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,59.99
9,Contoso 4G MP3 Player E400 Black,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,59.99
10,Contoso 4G MP3 Player E400 Green,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,59.99
11,Contoso 4G MP3 Player E400 Orange,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,59.99
12,Contoso 4GB Flash MP3 Player E401 Blue,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,77.68
13,Contoso 4GB Flash MP3 Player E401 Black,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,77.68
14,Contoso 4GB Flash MP3 Player E401 Silver,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,77.68
15,Contoso 4GB Flash MP3 Player E401 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Economy,77.68
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,109.95
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,109.95
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,109.95
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,109.95
20,Contoso 8GB MP3 Player new model M820 Black,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,134.00
21,Contoso 8GB MP3 Player new model M820 Blue,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,134.00
22,Contoso 8GB MP3 Player new model M820 Yellow,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,134.00
23,Contoso 8GB MP3 Player new model M820 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,134.00
24,Contoso 16GB Mp5 Player M1600 Blue,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,199.90
25,Contoso 16GB Mp5 Player M1600 Black,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,199.90
26,Contoso 16GB Mp5 Player M1600 Green,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,199.90
27,Contoso 16GB Mp5 Player M1600 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,199.90
28,Contoso 16GB Mp5 Player M1600 Red,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,199.90
29,Contoso 32GB Video MP3 Player M3200 White,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,255.00
30,Contoso 32GB Video MP3 Player M3200 Red,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,255.00
31,Contoso 32GB Video MP3 Player M3200 Orange,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,255.00
32,Contoso 32GB Video MP3 Player M3200 Pink,Audio,Digital Media Players,"Contoso, Ltd",Contoso,Regular,255.00
